,Cluster 0,Cluster 1
Balance,132774.87461538462,45099.80437198965
Qual_miles,258.19538461538696,89.16635791034011
cc1_miles,3.6115384615384603,1.311967395331597
cc2_miles,1.0099999999999998,1.0166728417932567
cc3_miles,1.0369230769230766,1.0003705075954057
Bonus_miles,41461.610000000015,5432.436828454915
Bonus_trans,20.386153846153825,7.370878103001072
Flight_miles_12mo,968.7215384615351,215.0518710633477
Flight_trans_12,2.9069230769230723,0.6350500185253682
Days_since_enroll,4941.44,3722.2108188217853
Award?,0.7099999999999953,0.2067432382363766
